Roots,Weights
0.0026153325012239215,0.006705929743570923
0.013728764390942394,0.015494002928489748
0.033514456586991925,0.024018835865542473
0.06162382086477919,0.03211621070426303
0.09755579919058005,0.03964070588835943
0.14066931843402491,0.04645788303001762
0.19019506211817694,0.05244604573227069
0.24524926107699624,0.05749832011120565
0.3048494809848546,0.061524542153364725
0.3679321595148275,0.064452861094041
0.43337158785076696,0.06623101970234821
0.5,0.06682728609305297
0.5666284121492331,0.06623101970234821
0.6320678404851725,0.064452861094041
0.6951505190151455,0.061524542153364725
0.7547507389230037,0.05749832011120565
0.8098049378818231,0.05244604573227069
0.8593306815659751,0.04645788303001762
0.90244420080942,0.03964070588835943
0.9383761791352208,0.03211621070426303
0.9664855434130081,0.024018835865542473
0.9862712356090576,0.015494002928489748
0.9973846674987761,0.006705929743570923
