-0.999305 | 0.001783
-0.996340 | 0.004147
-0.991013 | 0.006504
-0.983336 | 0.008847
-0.973327 | 0.011168
-0.961009 | 0.013463
-0.946411 | 0.015726
-0.929569 | 0.017952
-0.910522 | 0.020135
-0.889315 | 0.022270
-0.865999 | 0.024353
-0.840629 | 0.026377
-0.813265 | 0.028340
-0.783972 | 0.030235
-0.752820 | 0.032058
-0.719882 | 0.033805
-0.685236 | 0.035472
-0.648965 | 0.037055
-0.611155 | 0.038550
-0.571896 | 0.039954
-0.531279 | 0.041263
-0.489403 | 0.042474
-0.446366 | 0.043584
-0.402270 | 0.044591
-0.357220 | 0.045492
-0.311323 | 0.046285
-0.264687 | 0.046968
-0.217424 | 0.047540
-0.169644 | 0.047999
-0.121463 | 0.048345
-0.072993 | 0.048575
-0.024350 | 0.048691
0.024350 | 0.048691
0.072993 | 0.048575
0.121463 | 0.048345
0.169644 | 0.047999
0.217424 | 0.047540
0.264687 | 0.046968
0.311323 | 0.046285
0.357220 | 0.045492
0.402270 | 0.044591
0.446366 | 0.043584
0.489403 | 0.042474
0.531279 | 0.041263
0.571896 | 0.039954
0.611155 | 0.038550
0.648965 | 0.037055
0.685236 | 0.035472
0.719882 | 0.033805
0.752820 | 0.032058
0.783972 | 0.030235
0.813265 | 0.028340
0.840629 | 0.026377
0.865999 | 0.024353
0.889315 | 0.022270
0.910522 | 0.020135
0.929569 | 0.017952
0.946411 | 0.015726
0.961009 | 0.013463
0.973327 | 0.011168
0.983336 | 0.008847
0.991013 | 0.006504
0.996340 | 0.004147
0.999305 | 0.001783
